,TS代码,股票代码,股票名称,行业
1739,300285.SZ,300285,国瓷材料,陶瓷
1740,300286.SZ,300286,安科瑞,电器仪表
1741,300287.SZ,300287,飞利信,软件服务
1742,300288.SZ,300288,朗玛信息,软件服务
1743,300289.SZ,300289,利德曼,生物制药
1744,300290.SZ,300290,荣科科技,软件服务
1745,300291.SZ,300291,华录百纳,影视音像
1746,300292.SZ,300292,吴通控股,软件服务
1747,300293.SZ,300293,蓝英装备,专用机械
1748,300294.SZ,300294,博雅生物,生物制药
1749,300295.SZ,300295,三六五网,互联网
1750,300296.SZ,300296,利亚德,半导体
1751,300297.SZ,300297,蓝盾股份,软件服务
1752,300298.SZ,300298,三诺生物,医疗保健
1753,300299.SZ,300299,富春股份,互联网
1754,300300.SZ,300300,海峡创新,软件服务
1755,300301.SZ,300301,长方集团,半导体
1756,300302.SZ,300302,同有科技,软件服务
1757,300303.SZ,300303,聚飞光电,半导体
1758,300304.SZ,300304,云意电气,汽车配件
1759,300305.SZ,300305,裕兴股份,塑料
1760,300306.SZ,300306,远方信息,电器仪表
1761,300307.SZ,300307,慈星股份,纺织机械
1762,300308.SZ,300308,中际旭创,通信设备
1763,300309.SZ,300309,吉艾科技,多元金融
1764,300310.SZ,300310,宜通世纪,通信设备
1765,300311.SZ,300311,任子行,软件服务
1766,300312.SZ,300312,*ST邦讯,通信设备
1767,300313.SZ,300313,ST天山,农业综合
1768,300314.SZ,300314,戴维医疗,医疗保健
1769,300315.SZ,300315,掌趣科技,互联网
1770,300316.SZ,300316,晶盛机电,专用机械
1771,300317.SZ,300317,珈伟新能,半导体
1772,300318.SZ,300318,博晖创新,医疗保健
1773,300319.SZ,300319,麦捷科技,元器件
1774,300320.SZ,300320,海达股份,橡胶
1775,300321.SZ,300321,同大股份,塑料
